simulation name, date,DB_name,adaptive_optimizer,concat_tar_2_feat,decay_epochs,depth,drop_h,drop_i,drop_o,esimation_epoch,estimation_flag,hidden_size,init_bias,init_scale,learning_rate,lr_decay,mask,max_grad_norm,max_max_epoch,num_layers,num_steps,out_size,reset_weights_flag,start_time,state_gate,switch_to_asgd,weight_decay,wind_step_size,accuracy_window_1,accuracy_window_2,total_accuracy,corr_window_1,corr_window_2,corr_total,bbox_1,bbox_2
rhn_dep=6__hid_size=100__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__1,2017-12-10,CCver5_db,RMSProp,False,[35],6,0.04,0.1,0.0,6,True,100,-2.5,0.04,0.001,[0.1],0.45,0.25,40,1,25,1,True,4000,True,35,3e-06,100,0.5445,0.5303,0.5366,0.0659,0.0466,0.0556,7.709,3.531
rhn_dep=6__hid_size=100__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__10,2017-12-10,CCver5_db,RMSProp,False,[1015202530354045],6,0.3,0.0,0.6,5,True,100,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.015936631617923334],0.45,0.8,45,1,25,1,True,4000,True,45,3e-06,100,0.5449,0.5297,0.5364,0.0673,0.0471,0.0562,7.793,3.123
rhn_dep=6__hid_size=100__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__6,2017-12-10,CCver5_db,RMSProp,False,[35],6,0.1,0.2,0.1,6,True,100,-2.5,0.04,0.001,[0.1],0.45,0.25,40,1,25,1,True,4000,True,35,3e-06,100,0.5450,0.5329,0.5383,0.0661,0.0470,0.0559,7.629,3.126
rhn_dep=6__hid_size=100__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__7,2017-12-10,CCver5_db,RMSProp,False,[35],6,0.1,0.2,0.1,6,True,100,-2.5,0.04,0.001,[0.1],0.45,0.25,40,1,25,1,True,4000,True,35,3e-06,100,0.5447,0.5330,0.5382,0.0664,0.0483,0.0567,8.166,3.799
rhn_dep=6__hid_size=100__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__8,2017-12-10,CCver5_db,RMSProp,False,[1015202530354045],6,0.3,0.0,0.6,5,True,100,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.015936631617923334],0.45,0.8,45,1,25,1,True,4000,True,45,3e-06,100,0.5443,0.5302,0.5365,0.0676,0.0471,0.0563,7.352,3.032
rhn_dep=6__hid_size=100__DB=CCver5_db__mask=0_45__wind=400_stg_Rst_Rnd_Srv__1,2017-12-10,CCver5_db,RMSProp,False,[202733],6,0.04,0.1,0.0,6,True,100,-2.5,0.04,0.001,[2 ; 2 ; 2],0.45,0.25,40,1,25,1,True,4000,True,45,3e-06,400,0.5421,0.5289,0.5348,0.0630,0.0466,0.0539,7.250,2.221
rhn_dep=6__hid_size=100__DB=CCver5_db__mask=0_45__wind=400_stg_Rst_Rnd_Srv__3,2017-12-10,CCver5_db,RMSProp,False,[1015202530354045],6,0.15,0.3,0.15,6,True,100,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.015936631617923334],0.45,0.8,50,1,25,1,True,4000,True,45,3e-06,400,0.5446,0.5291,0.5359,0.0663,0.0440,0.0544,7.518,2.467
rhn_dep=6__hid_size=100__DB=CCver5_db__mask=0_45__wind=400_stg_Rst_Rnd_Srv__4,2017-12-10,CCver5_db,RMSProp,False,[1015202530354045],6,0.15,0.3,0.15,6,True,100,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.015936631617923334],0.45,0.8,50,1,25,1,True,4000,True,45,3e-06,400,0.5431,0.5293,0.5354,0.0645,0.0443,0.0536,7.210,2.000
rhn_dep=6__hid_size=100__DB=CCver5_db__mask=0_45__wind=400_stg_Rst_Rnd_Srv__5,2017-12-10,CCver5_db,RMSProp,False,[1015202530354045],6,0.15,0.3,0.15,6,True,100,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.015936631617923334],0.45,0.8,50,1,25,1,True,4000,True,45,3e-06,400,0.5433,0.5292,0.5354,0.0661,0.0441,0.0540,7.363,1.862
rhn_dep=6__hid_size=100__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__2,2017-12-10,CCver5_db,RMSProp,False,[35],6,0.04,0.1,0.0,6,True,100,-2.5,0.04,0.001,[0.1],0.45,0.25,40,1,25,1,True,4000,True,35,3e-06,100,0.5434,0.5319,0.5370,0.0635,0.0470,0.0546,6.811,4.313
rhn_dep=6__hid_size=100__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__5,2017-12-10,CCver5_db,RMSProp,False,[35],6,0.1,0.2,0.1,6,True,100,-2.5,0.04,0.001,[0.1],0.45,0.25,40,1,25,1,True,4000,True,35,3e-06,100,0.5457,0.5313,0.5377,0.0663,0.0481,0.0563,7.441,3.332
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__0,2017-12-10,CCver5_db,RMSProp,False,[1015202530354045],6,0.4,0.0,0.75,5,True,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.015936631617923334],0.45,0.8,45,1,25,1,True,4000,True,45,3e-06,100,0.5461,0.5310,0.5376,0.0684,0.0498,0.0583,7.770,2.965
rhn_dep=8__hid_size=40__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__0,2017-12-10,CCver5_db,RMSProp,False,[35],8,0.04,0.1,0.0,6,True,40,-2.0,0.04,0.001,[0.1],0.45,0.25,40,1,25,1,True,4000,True,35,3e-06,100,0.5425,0.5303,0.5357,0.0613,0.0444,0.0523,6.858,2.575
rhn_dep=8__hid_size=40__DB=CCver5_db__mask=0_45__wind=50_Rst_Rnd_Srv__5,2017-12-10,CCver5_db,RMSProp,False,[35],8,0.04,0.1,0.0,6,True,40,-2.0,0.04,0.001,[0.1],0.45,0.25,40,1,25,1,True,4000,True,35,3e-06,50,0.5425,0.5299,0.5355,0.0623,0.0429,0.0520,6.648,2.787
rhn_dep=6__hid_size=100__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__3,2017-12-10,CCver5_db,RMSProp,False,[35],6,0.04,0.1,0.0,6,True,100,-2.5,0.04,0.001,[0.1],0.45,0.25,40,1,25,1,True,4000,True,35,3e-06,100,0.5428,0.5305,0.5360,0.0636,0.0473,0.0548,7.379,3.882
rhn_dep=6__hid_size=100__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__4,2017-12-10,CCver5_db,RMSProp,False,[35],6,0.1,0.2,0.1,6,True,100,-2.5,0.04,0.001,[0.1],0.45,0.25,40,1,25,1,True,4000,True,35,3e-06,100,0.5443,0.5310,0.5369,0.0638,0.0464,0.0546,6.999,2.857
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__10,2017-12-12,CCver5_db,RMSProp,False,[10152025303540],6,0.3,0.0,0.75,5,True,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,1,True,4000,True,40,1e-07,100,0.5466,0.5318,0.5383,0.0707,0.0506,0.0598,8.006,2.965
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__3,2017-12-12,CCver5_db,RMSProp,False,[10152025303540],6,0.6,0.0,0.75,5,True,200,-3.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,45,1,25,1,True,4000,True,40,3e-06,100,0.5440,0.5299,0.5361,0.0666,0.0462,0.0553,7.809,2.595
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__5,2017-12-12,CCver5_db,RMSProp,False,[10152025303540],6,0.6,0.0,0.75,5,True,200,-3.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,45,1,25,1,True,4000,True,40,3e-06,100,0.5443,0.5284,0.5354,0.0668,0.0459,0.0553,7.642,3.466
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__7,2017-12-12,CCver5_db,RMSProp,False,[10152025303540],6,0.6,0.0,0.75,5,True,200,-3.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,1,True,4000,True,40,3e-06,100,0.5437,0.5294,0.5357,0.0664,0.0469,0.0557,7.469,2.719
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__8,2017-12-12,CCver5_db,RMSProp,False,[10152025303540],6,0.3,0.0,0.75,5,True,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,1,True,4000,True,40,1e-07,100,0.5468,0.5317,0.5383,0.0697,0.0505,0.0593,7.775,3.235
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__9,2017-12-12,CCver5_db,RMSProp,False,[10152025303540],6,0.3,0.0,0.75,5,True,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,1,True,4000,True,40,1e-07,100,0.5459,0.5319,0.5381,0.0695,0.0512,0.0597,8.010,3.134
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_45__wind=160_stg_Rst_Rnd_Srv__1,2017-12-12,CCver5_db,RMSProp,False,[10152025303540],4,0.35,0.0,0.75,5,True,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,1,True,4000,True,40,8e-07,160,0.5446,0.5309,0.5369,0.0688,0.0492,0.0583,7.550,3.305
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_45__wind=160_stg_Rst_Rnd_Srv__2,2017-12-12,CCver5_db,RMSProp,False,[10152025303540],4,0.35,0.0,0.75,5,True,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,1,True,4000,True,40,8e-07,160,0.5452,0.5313,0.5374,0.0686,0.0494,0.0582,7.886,2.925
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_45__wind=160_stg_Rst_Rnd_Srv__3,2017-12-12,CCver5_db,RMSProp,False,[10152025303540],4,0.35,0.0,0.75,5,True,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,1,True,4000,True,40,8e-07,160,0.5448,0.5307,0.5369,0.0682,0.0495,0.0581,7.799,2.692
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_45__wind=400_stg_Rst_Rnd_Srv__0,2017-12-12,CCver5_db,RMSProp,False,[10152025303540],4,0.35,0.0,0.75,5,True,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,1,True,4000,True,40,8e-07,400,0.5447,0.5298,0.5364,0.0698,0.0483,0.0580,7.417,3.231
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_45__wind=400_stg_Rst_Rnd_Srv__1,2017-12-12,CCver5_db,RMSProp,False,[10152025303540],4,0.35,0.0,0.75,5,True,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,1,True,4000,True,40,8e-07,400,0.5459,0.5302,0.5371,0.0699,0.0505,0.0591,7.282,2.782
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_45__wind=400_stg_Rst_Rnd_Srv__2,2017-12-12,CCver5_db,RMSProp,False,[10152025303540],4,0.35,0.0,0.75,5,True,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,1,True,4000,True,40,8e-07,400,0.5448,0.5301,0.5366,0.0686,0.0472,0.0571,7.507,2.488
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_45__wind=400_stg_Rst_Rnd_Srv__3,2017-12-12,CCver5_db,RMSProp,False,[10152025303540],4,0.35,0.0,0.75,5,True,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,1,True,4000,True,40,8e-07,400,0.5444,0.5297,0.5362,0.0694,0.0489,0.0580,7.602,2.727
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_59__wind=100_stg_Rst_Rnd_Srv__0,2017-12-12,CCver5_db,RMSProp,False,[10152025303540],4,0.35,0.0,0.75,5,True,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.59,0.8,40,1,25,1,True,4000,True,40,8e-07,100,0.5473,0.5312,0.5383,0.0693,0.0494,0.0584,8.164,3.571
rhn_dep=4__hid_size=150__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__0,2017-12-12,CCver5_db,RMSProp,False,[10152025303540],4,0.35,0.0,0.7,5,True,150,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,1,True,4000,True,40,1e-07,100,0.5452,0.5307,0.5371,0.0687,0.0482,0.0575,7.838,3.021
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_45__wind=160_stg_Rst_Rnd_Srv__0,2017-12-12,CCver5_db,RMSProp,False,[10152025303540],4,0.35,0.0,0.75,5,True,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,1,True,4000,True,40,8e-07,160,0.5452,0.5310,0.5373,0.0696,0.0495,0.0587,7.458,3.129
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_59__wind=100_stg_Rst_Rnd_Srv__1,2017-12-12,CCver5_db,RMSProp,False,[10152025303540],4,0.35,0.0,0.75,5,True,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.59,0.8,40,1,25,1,True,4000,True,40,8e-07,100,0.5461,0.5303,0.5373,0.0682,0.0485,0.0575,7.824,3.068
rhn_dep=3__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__0,2017-12-12,CCver5_db,RMSProp,False,[10152025303540],3,0.5,0.0,0.75,5,True,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,1,True,4000,True,40,8e-07,100,0.5457,0.5296,0.5367,0.0693,0.0469,0.0570,7.542,2.956
rhn_dep=3__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__1,2017-12-12,CCver5_db,RMSProp,False,[10152025303540],3,0.5,0.0,0.75,5,True,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,1,True,4000,True,40,8e-07,100,0.5452,0.5309,0.5372,0.0697,0.0480,0.0580,7.716,3.123
rhn_dep=3__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__2,2017-12-12,CCver5_db,RMSProp,False,[10152025303540],3,0.5,0.0,0.75,5,True,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,1,True,4000,True,40,8e-07,100,0.5469,0.5304,0.5377,0.0699,0.0473,0.0576,7.566,3.595
rhn_dep=3__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__3,2017-12-12,CCver5_db,RMSProp,False,[10152025303540],3,0.5,0.0,0.75,5,True,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,1,True,4000,True,40,8e-07,100,0.5456,0.5297,0.5367,0.0686,0.0477,0.0571,7.726,3.448
rhn_dep=4__hid_size=100__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__0,2017-12-12,CCver5_db,RMSProp,False,[10152025303540],4,0.35,0.0,0.7,5,True,100,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,1,True,4000,True,40,1e-07,100,0.5452,0.5293,0.5363,0.0675,0.0453,0.0555,7.576,3.495
rhn_dep=4__hid_size=100__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__1,2017-12-12,CCver5_db,RMSProp,False,[10152025303540],4,0.35,0.0,0.7,5,True,100,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,1,True,4000,True,40,1e-07,100,0.5429,0.5286,0.5349,0.0661,0.0446,0.0544,7.452,2.632
rhn_dep=4__hid_size=100__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__2,2017-12-12,CCver5_db,RMSProp,False,[10152025303540],4,0.35,0.0,0.7,5,True,100,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,1,True,4000,True,40,1e-07,100,0.5443,0.5289,0.5357,0.0669,0.0452,0.0552,7.507,3.070
rhn_dep=4__hid_size=100__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__3,2017-12-12,CCver5_db,RMSProp,False,[10152025303540],4,0.35,0.0,0.7,5,True,100,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,1,True,4000,True,40,1e-07,100,0.5438,0.5295,0.5358,0.0664,0.0459,0.0553,7.604,2.787
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_59__wind=100_stg_Rst_Rnd_Srv__2,2017-12-12,CCver5_db,RMSProp,False,[10152025303540],4,0.35,0.0,0.75,5,True,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.59,0.8,40,1,25,1,True,4000,True,40,8e-07,100,0.5472,0.5328,0.5391,0.0685,0.0502,0.0583,8.119,2.951
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_59__wind=100_stg_Rst_Rnd_Srv__3,2017-12-12,CCver5_db,RMSProp,False,[10152025303540],4,0.35,0.0,0.75,5,True,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.59,0.8,40,1,25,1,True,4000,True,40,8e-07,100,0.5462,0.5304,0.5374,0.0686,0.0479,0.0574,7.844,2.753
